Case Study,Sampling Strategy,Robustness,Posterior Confidence,Prior Confidence
BerkeleyDBC,SolverBased,0.067,0.5,0.9988821048108966
BerkeleyDBC,SolverBased,0.068,0.5,0.9989936259940135
BerkeleyDBC,SolverBased,0.069,0.5,0.9990941240366576
BerkeleyDBC,SolverBased,0.07,0.5,0.999184678380826
BerkeleyDBC,SolverBased,0.071,0.5,0.9992662637574423
BerkeleyDBC,SolverBased,0.072,0.5,0.9993397602472743
BerkeleyDBC,SolverBased,0.073,0.51,0.9994059623844682
BerkeleyDBC,SolverBased,0.074,0.51,0.9994655873929181
BerkeleyDBC,SolverBased,0.075,0.51,0.9995192826372674
BerkeleyDBC,SolverBased,0.076,0.53,0.9995676323627031
BerkeleyDBC,SolverBased,0.077,0.54,0.9996111637907665
BerkeleyDBC,SolverBased,0.078,0.54,0.9996503526321164
BerkeleyDBC,SolverBased,0.079,0.54,0.9996856280714662
BerkeleyDBC,SolverBased,0.08,0.54,0.9997173772747436
